phase,query_type,actor,emotion,bucket,approach,elapsed_seconds,n_files
write,write,,,video_large,polyglot,0.059389,1
write,write,,,video_large,pure_mongo,0.046180,1
write,write,,,video_large,polyglot,0.056815,1
write,write,,,video_large,pure_mongo,0.048512,1
write,write,,,audio_small,polyglot,0.007579,1
write,write,,,audio_small,pure_mongo,0.010079,1
write,write,,,audio_small,polyglot,0.008348,1
write,write,,,audio_small,pure_mongo,0.004343,1
write,write,,,audio_small,polyglot,0.004673,1
write,write,,,audio_small,pure_mongo,0.004561,1
write,write,,,audio_small,polyglot,0.004654,1
write,write,,,audio_small,pure_mongo,0.003866,1
write,write,,,audio_small,polyglot,0.004903,1
write,write,,,audio_small,pure_mongo,0.004027,1
write,write,,,audio_small,polyglot,0.014429,1
write,write,,,audio_small,pure_mongo,0.007904,1
write,write,,,audio_small,polyglot,0.006138,1
write,write,,,audio_small,pure_mongo,0.004735,1
write,write,,,audio_small,polyglot,0.005487,1
write,write,,,audio_small,pure_mongo,0.004969,1
write,write,,,audio_small,polyglot,0.006166,1
write,write,,,audio_small,pure_mongo,0.005109,1
write,write,,,audio_small,polyglot,0.006476,1
write,write,,,audio_small,pure_mongo,0.006969,1
write,write,,,video_medium,polyglot,0.011752,1
write,write,,,video_medium,pure_mongo,0.010350,1
write,write,,,video_medium,polyglot,0.011309,1
write,write,,,video_medium,pure_mongo,0.012578,1
write,write,,,video_medium,polyglot,0.011066,1
write,write,,,video_medium,pure_mongo,0.012396,1
write,write,,,video_medium,polyglot,0.017067,1
write,write,,,video_medium,pure_mongo,0.020886,1
write,write,,,video_medium,polyglot,0.024134,1
write,write,,,video_medium,pure_mongo,0.013212,1
write,write,,,video_medium,polyglot,0.015482,1
write,write,,,video_medium,pure_mongo,0.011681,1
write,write,,,video_medium,polyglot,0.012660,1
write,write,,,video_medium,pure_mongo,0.010711,1
write,write,,,video_medium,polyglot,0.010506,1
write,write,,,video_medium,pure_mongo,0.009222,1
write,write,,,video_medium,polyglot,0.010765,1
write,write,,,video_medium,pure_mongo,0.009685,1
write,write,,,video_medium,polyglot,0.010183,1
write,write,,,video_medium,pure_mongo,0.009797,1
write,write,,,video_large,polyglot,0.039754,1
write,write,,,video_large,pure_mongo,0.061890,1
write,write,,,video_large,polyglot,0.039825,1
write,write,,,video_large,pure_mongo,0.042658,1
write,write,,,video_large,polyglot,0.056561,1
write,write,,,video_large,pure_mongo,0.064763,1
